roomNumber,bin,room_entry_sequence,user_id,prev_people,expected_people,curr_people,lost_update_diff
1182,1,8,yhjj856,8,9,9,0
1182,1,9,yhjj877,9,10,10,0
1182,1,10,yhjj902,10,11,11,0
1182,1,11,yhjj849,11,12,12,0
1182,1,12,yhjj825,12,13,13,0
1182,1,13,yhjj888,13,14,14,0
1182,1,14,yhjj854,14,15,15,0
1182,1,15,yhjj895,15,16,16,0
1182,1,16,yhjj851,16,17,17,0
1182,1,17,yhjj824,17,18,18,0
1182,1,18,yhjj847,18,19,19,0
1182,1,19,yhjj878,19,20,20,0
1182,1,20,yhjj832,20,21,21,0
1182,2,21,yhjj833,21,22,22,0
1182,2,22,yhjj840,22,23,23,0
1182,2,23,yhjj922,23,24,24,0
1182,2,24,yhjj857,24,25,25,0
1182,2,25,yhjj923,25,26,26,0
1182,2,26,yhjj848,26,27,27,0
1182,2,27,yhjj859,27,28,28,0
1182,2,28,yhjj874,28,29,29,0
1182,2,29,yhjj836,29,30,30,0
1182,2,30,yhjj822,30,31,31,0
1182,2,31,yhjj943,31,32,32,0
1182,2,32,yhjj889,32,33,33,0
1182,2,33,yhjj860,33,34,34,0
1182,2,34,yhjj890,34,35,35,0
1182,2,35,yhjj826,35,36,36,0
1182,2,36,yhjj1015,36,37,37,0
1182,2,37,yhjj862,37,38,38,0
1182,2,38,yhjj883,38,39,39,0
1182,2,39,yhjj964,39,40,40,0
1182,2,40,yhjj927,40,41,41,0
1182,3,41,yhjj880,41,42,42,0
1182,3,42,yhjj827,42,43,43,0
1182,3,43,yhjj947,43,44,44,0
1182,3,44,yhjj892,44,45,45,0
1182,3,45,yhjj843,45,46,46,0
1182,3,46,yhjj901,46,47,47,0
1182,3,47,yhjj928,47,48,48,0
1182,3,48,yhjj823,48,49,49,0
1182,3,49,yhjj864,49,50,50,0
1182,3,50,yhjj976,50,51,51,0
1182,3,51,yhjj879,51,52,52,0
1182,3,52,yhjj979,52,53,53,0
1182,3,53,yhjj845,53,54,54,0
1182,3,54,yhjj869,54,55,55,0
1182,3,55,yhjj978,55,56,56,0
1182,3,56,yhjj904,56,57,57,0
1182,3,57,yhjj970,57,58,58,0
1182,3,58,yhjj876,58,59,59,0
1182,3,59,yhjj898,59,60,60,0
1182,3,60,yhjj839,60,61,61,0
1182,4,61,yhjj896,61,62,62,0
1182,4,62,yhjj998,62,63,63,0
1182,4,63,yhjj855,63,64,64,0
1182,4,64,yhjj912,64,65,65,0
1182,4,65,yhjj915,65,66,66,0
1182,4,66,yhjj1017,66,67,67,0
1182,4,67,yhjj830,67,68,68,0
1182,4,68,yhjj866,68,69,69,0
1182,4,69,yhjj1004,69,70,70,0
1182,4,70,yhjj952,70,71,71,0
1182,4,71,yhjj1014,71,72,72,0
1182,4,72,yhjj941,72,73,73,0
1182,4,73,yhjj853,73,74,74,0
1182,4,74,yhjj926,74,75,75,0
1182,4,75,yhjj905,75,76,76,0
1182,4,76,yhjj831,76,77,77,0
1182,4,77,yhjj829,77,78,78,0
1182,4,78,yhjj925,78,79,79,0
1182,4,79,yhjj1013,79,80,80,0
1182,4,80,yhjj882,80,81,81,0
1182,5,81,yhjj900,81,82,82,0
1182,5,82,yhjj969,82,83,83,0
1182,5,83,yhjj820,83,84,84,0
1182,5,84,yhjj985,84,85,85,0
1182,5,85,yhjj887,85,86,86,0
1182,5,86,yhjj967,86,87,87,0
1182,5,87,yhjj844,87,88,88,0
1182,5,88,yhjj873,88,89,89,0
1182,5,89,yhjj987,89,90,90,0
1182,5,90,yhjj910,90,91,91,0
1182,5,91,yhjj909,91,92,92,0
1182,5,92,yhjj863,92,93,93,0
1182,5,93,yhjj959,93,94,94,0
1182,5,94,yhjj981,94,95,95,0
1182,5,95,yhjj939,95,96,96,0
1182,5,96,yhjj961,96,97,97,0
