roomNumber,bin,room_entry_sequence,user_id,curr_people,ideal_sequential_state,sequential_consistency_diff,max_people,join_result,sequential_consistency_violation,true_critical_section_nanoTime_start,true_critical_section_nanoTime_end
1302,4,77,yhjj933,77,78,-1,100,SUCCESS,True,1038462777600,1038462891299
1302,4,78,yhjj895,78,79,-1,100,SUCCESS,True,1038462926400,1038463284200
1304,4,78,yhjj835,77,79,-2,100,SUCCESS,True,1200379212300,1200379268700
1309,4,78,yhjj916,83,79,4,100,SUCCESS,True,1565133716700,1565134821100
1308,4,78,yhjj881,78,79,-1,100,SUCCESS,True,1519165007700,1519165066500
1310,4,78,yhjj996,78,79,-1,100,SUCCESS,True,1694138028000,1694138168700
1309,4,79,yhjj910,79,80,-1,100,SUCCESS,True,1565133852700,1565133892900
1310,4,79,yhjj854,81,80,1,100,SUCCESS,True,1694138411000,1694139093600
1301,4,79,yhjj884,81,80,1,100,SUCCESS,True,876890307300,876890686000
1302,4,79,yhjj1001,82,80,2,100,SUCCESS,True,1038463943199,1038466033600
1310,4,80,yhjj885,82,81,1,100,SUCCESS,True,1694138519600,1694139243500
1308,4,80,yhjj913,82,81,1,100,SUCCESS,True,1519167657700,1519168073300
1309,4,80,yhjj833,80,81,-1,100,SUCCESS,True,1565134061700,1565134104000
1303,4,80,yhjj1003,85,81,4,100,SUCCESS,True,1117100814700,1117104309500
1301,4,80,yhjj844,80,81,-1,100,SUCCESS,True,876890538600,876890589500
1302,4,80,yhjj946,80,81,-1,100,SUCCESS,True,1038464024700,1038465747900
1302,5,81,yhjj864,81,82,-1,100,SUCCESS,True,1038465764800,1038465840399
1310,5,81,yhjj820,83,82,1,100,SUCCESS,True,1694138701200,1694139294000
1306,5,81,yhjj871,85,82,3,100,SUCCESS,True,1345945536100,1345946727300
1309,5,81,yhjj950,81,82,-1,100,SUCCESS,True,1565134310300,1565134347500
1308,5,81,yhjj954,81,82,-1,100,SUCCESS,True,1519167947300,1519167994800
1303,5,81,yhjj963,81,82,-1,100,SUCCESS,True,1117100930400,1117100991400
1303,5,82,yhjj972,82,83,-1,100,SUCCESS,True,1117101112600,1117101190100
1306,5,82,yhjj886,82,83,-1,100,SUCCESS,True,1345945591300,1345945646600
1310,5,82,yhjj906,80,83,-3,100,SUCCESS,True,1694138828000,1694138865800
1309,5,82,yhjj970,82,83,-1,100,SUCCESS,True,1565134549500,1565134657700
1306,5,83,yhjj911,83,84,-1,100,SUCCESS,True,1345945873800,1345946393100
1305,5,83,yhjj963,85,84,1,100,SUCCESS,True,1255434207100,1255434395100
1303,5,83,yhjj992,83,84,-1,100,SUCCESS,True,1117101467500,1117101520500
1305,5,84,yhjj948,84,85,-1,100,SUCCESS,True,1255434262400,1255434365500
1303,5,84,yhjj880,88,85,3,100,SUCCESS,True,1117103014500,1117105907800
