roomNumber,bin,room_entry_sequence,user_id,prev_entry_time,curr_entry_time,curr_people,max_people
1176,9,174,yhjj853,2025-07-12 06:16:33.995827+00:00,2025-07-12 06:16:33.995827+00:00,101,100
1176,9,167,yhjj997,2025-07-12 06:16:33.995827+00:00,2025-07-12 06:16:33.995827+00:00,101,100
1176,9,168,yhjj930,2025-07-12 06:16:33.995827+00:00,2025-07-12 06:16:33.995827+00:00,101,100
1176,9,169,yhjj924,2025-07-12 06:16:33.995827+00:00,2025-07-12 06:16:33.995827+00:00,101,100
1176,9,170,yhjj1000,2025-07-12 06:16:33.995827+00:00,2025-07-12 06:16:33.995827+00:00,101,100
1176,9,171,yhjj838,2025-07-12 06:16:33.995827+00:00,2025-07-12 06:16:33.995827+00:00,101,100
1176,9,172,yhjj883,2025-07-12 06:16:33.995827+00:00,2025-07-12 06:16:33.995827+00:00,101,100
1176,9,175,yhjj890,2025-07-12 06:16:33.995827+00:00,2025-07-12 06:16:33.995827+00:00,101,100
1176,9,176,yhjj955,2025-07-12 06:16:33.997582+00:00,2025-07-12 06:16:33.997582+00:00,101,100
1176,9,178,yhjj949,2025-07-12 06:16:33.997885+00:00,2025-07-12 06:16:33.997885+00:00,101,100
1176,9,177,yhjj1008,2025-07-12 06:16:33.997885+00:00,2025-07-12 06:16:33.997885+00:00,101,100
1176,10,183,yhjj942,2025-07-12 06:16:33.999208+00:00,2025-07-12 06:16:33.999208+00:00,101,100
1176,10,184,yhjj832,2025-07-12 06:16:33.999208+00:00,2025-07-12 06:16:33.999208+00:00,101,100
1176,10,182,yhjj974,2025-07-12 06:16:33.999208+00:00,2025-07-12 06:16:33.999208+00:00,101,100
1176,9,179,yhjj1005,2025-07-12 06:16:33.997885+00:00,2025-07-12 06:16:33.999208+00:00,101,100
1176,9,180,yhjj1007,2025-07-12 06:16:33.999208+00:00,2025-07-12 06:16:33.999208+00:00,101,100
1176,10,181,yhjj963,2025-07-12 06:16:33.999208+00:00,2025-07-12 06:16:33.999208+00:00,101,100
1176,10,187,yhjj998,2025-07-12 06:16:34.000671+00:00,2025-07-12 06:16:34.000671+00:00,101,100
1176,10,188,yhjj954,2025-07-12 06:16:34.000671+00:00,2025-07-12 06:16:34.000671+00:00,101,100
1176,10,185,yhjj885,2025-07-12 06:16:34.000671+00:00,2025-07-12 06:16:34.000671+00:00,101,100
1176,10,186,yhjj979,2025-07-12 06:16:34.000671+00:00,2025-07-12 06:16:34.000671+00:00,101,100
1176,10,189,yhjj959,2025-07-12 06:16:34.002070+00:00,2025-07-12 06:16:34.002070+00:00,101,100
1176,10,190,yhjj903,2025-07-12 06:16:34.002070+00:00,2025-07-12 06:16:34.002070+00:00,101,100
1176,10,191,yhjj900,2025-07-12 06:16:34.002070+00:00,2025-07-12 06:16:34.002070+00:00,101,100
1176,10,192,yhjj989,2025-07-12 06:16:34.002070+00:00,2025-07-12 06:16:34.002070+00:00,101,100
1176,10,193,yhjj984,2025-07-12 06:16:34.002070+00:00,2025-07-12 06:16:34.002070+00:00,101,100
1176,10,194,yhjj875,2025-07-12 06:16:34.002070+00:00,2025-07-12 06:16:34.002070+00:00,101,100
1176,10,198,yhjj855,2025-07-12 06:16:34.003569+00:00,2025-07-12 06:16:34.003569+00:00,101,100
1176,10,197,yhjj823,2025-07-12 06:16:34.003569+00:00,2025-07-12 06:16:34.003569+00:00,101,100
1176,10,195,yhjj965,2025-07-12 06:16:34.003569+00:00,2025-07-12 06:16:34.003569+00:00,101,100
1176,10,196,yhjj898,2025-07-12 06:16:34.003569+00:00,2025-07-12 06:16:34.003569+00:00,101,100
1176,10,199,yhjj876,2025-07-12 06:16:34.004498+00:00,2025-07-12 06:16:34.004498+00:00,101,100
1176,10,200,yhjj966,2025-07-12 06:16:34.004498+00:00,2025-07-12 06:16:34.004498+00:00,101,100
